Reference m/z,Measured m/z,Reference rCCS,Measured rCCS,Reference Time,Measured Time,z
152.07061,152.07007,634.22823,639.12776,2.86186,2.90652,1
195.08765,195.08743,683.99832,676.97707,3.34986,3.2877,1
215.05972,215.05976,730.83618,724.24963,3.7751,3.71847,1
311.08085,311.08038,853.69242,850.59355,4.86797,4.84312,1
380.218,380.21715,979.19268,997.2271,5.89042,6.026,1
455.29043,455.29022,1072.62409,1085.77998,6.62774,6.7229,1
472.32101,472.32036,1176.08178,1199.49793,7.37285,7.53525,1
516.27764,516.27684,1087.65568,1071.56722,6.77122,6.65487,1
556.27657,556.27571,1186.76329,1192.39895,7.49367,7.53273,1
587.31475,587.31371,1178.96204,1167.58383,7.45578,7.37644,1
609.28066,609.27993,1305.68653,1313.43854,8.32909,8.3806,1
658.35187,658.35091,1259.62297,1249.99177,8.04468,7.97947,1
729.38898,729.38759,1329.65553,1322.276,8.54634,8.49757,1
800.42609,800.4247,1409.88089,1396.74564,9.10139,9.01671,1
871.46321,871.4617,1469.13468,1471.96408,9.51006,9.52793,1
942.50032,942.49889,1533.45189,1544.24644,9.94229,10.00913,1
